Institute,Ranking,Location,Short Description,Long Description,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,,Full-time faculty (tenured or tenure-track),Ph.D. student/faculty ratio,Female,Male,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)"
Rutgers University--New Brunswick,55," Piscataway, NJ","The School of Engineering at Rutgers University--New Brunswick has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $18,180 per year (in-state); full-time: $30,912 per year (out-of-state); part-time: $758 per credit (in-state); and part-time: $1,288 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The School of Engineering at Rutgers University--New Brunswick has 178 full-time faculty on staff.",,12/01,12/01,$ 70.00,$ 70.00,(732) 932-7711,linda.costa@rutgers.edu,http://gradstudy.rutgers.edu,http://gradstudy.rutgers.edu,2.2:1,178,2.2:1,29.5,70.5,,,,
Colorado School of Mines,55," Golden, CO","The application fee is $75 for U.S. residents and $95 for international students. Its tuition is full-time: $17,154 per year (in-state) and full-time: $38,446 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3:1. The engineering school at Colorado School of Mines has 186 full-time faculty on staff.",,07/01,07/01,$ 75.00,$ 95.00,(303) 273-3225,admissions@mines.edu,https://www.mines.edu/graduate-admissions/application-process/,https://www.mines.edu/graduate-admissions/,N/A,186,3:1,29.4,70.3,N/A,N/A,,
University of Utah,57," Salt Lake City, UT","The application fee is $0 for U.S. residents and $65 for international students. Its tuition is full-time: $8,536 per year (in-state); full-time: $26,174 per year (out-of-state); part-time: $6,305 per year (in-state); and part-time: $19,635 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.4:1. The John and Marcia Price College of Engineering at University of Utah has 212 full-time faculty on staff.",,01/01,01/01,$ 0.00,$ 65.00,(801) 581-8761,admissions@sa.utah.edu,http://www.admissions.utah.edu/apply/,http://www.utah.edu,3.4:1,212,3.4:1,23.4,76.6,,,,
University of Massachusetts--Amherst,57," Amherst, MA","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $14,014 per year (in-state); full-time: $30,572 per year (out-of-state); part-time: $4,163 per credit (in-state); and part-time: $8,207 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at University of Massachusetts--Amherst has 191 full-time faculty on staff.",,01/01,01/01,$ 85.00,$ 85.00,(413) 545-0722,gradadm@grad.umass.edu,https://www.umass.edu/graduate/apply/how-apply,http://www.engineering.umass.edu,N/A,191,3.6:1,33.9,66.1,N/A,,,
Wichita State University,59," Wichita, KS","The College of Engineering at Wichita State University has a rolling application deadline. The application fee is $60 for U.S. residents and $75 for international students. Its tuition is full-time: $5,544 per year (in-state); full-time: $13,615 per year (out-of-state); part-time: $2,772 per year (in-state); and part-time: $6,808 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.6:1. The College of Engineering at Wichita State University has 64 full-time faculty on staff.",,08/01,08/01,$ 60.00,$ 75.00,(316) 978-3095,aaron.coffey@wichita.edu,https://www.wichita.edu/academics/gradschool/ApplicationandAdmission/CollegeNet_Application_Instructions.php,http://www.wichita.edu/engineering,0.6:1,64,0.6:1,26.5,73.5,,,,
Stony Brook University--SUNY,59," Stony Brook, NY","The application fee is $100 for U.S. residents and $100 for international students. Its tuition is full-time: $11,310 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.8:1. The College of Engineering and Applied Sciences at Stony Brook University--SUNY has 170 full-time faculty on staff.",,N/A,N/A,$ 100.00,$ 100.00,(631) 632-4723,gradadmissions@stonybrook.edu,http://grad.stonybrook.edu/admissions/index.php,https://www.grad.stonybrook.edu,3.8:1,170,3.8:1,21.6,78.4,,,,
Michigan State University,59," East Lansing, MI","The College of Engineering at Michigan State University has a rolling application deadline. The application fee is $65 for U.S. residents and $75 for international students. Its tuition is full-time: $911 per credit (in-state) and full-time: $1,707 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3:1. The College of Engineering at Michigan State University has 232 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 75.00,(517) 355-8332,egrgrad@egr.msu.edu,http://www.egr.msu.edu/graduate,http://www.egr.msu.edu,N/A,232,3:1,25.9,74.1,N/A,N/A,,
Florida A&M University - Florida State University,62,"llahassee, FL","The FAMU-FSU College of Engineering at Florida A&M University - Florida State University has a rolling application deadline. The application fee is $30 for U.S. residents and $30 for international students. Its tuition is full-time: $9,636 per year (in-state) and full-time: $22,264 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The FAMU-FSU College of Engineering at Florida A&M University - Florida State University has 127 full-time faculty on staff.",,07/01,07/01,$ 30.00,$ 30.00,(850) 410-6628,gradstudies@eng.famu.fsu.edu,http://www.eng.famu.fsu.edu/prospective/graduate/admissions.html,http://www.eng.famu.fsu.edu,N/A,127,2.6:1,24.5,75.5,N/A,N/A,,
University of Tennessee--Knoxville (Tickle),62," Knoxville, TN","The Tickle College of Engineering at University of Tennessee--Knoxville (Tickle) has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $639 per credit (in-state); full-time: $1,650 per credit (out-of-state); part-time: $639 per credit (in-state); and part-time: $1,650 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The Tickle College of Engineering at University of Tennessee--Knoxville (Tickle) has 188 full-time faculty on staff.",,08/01,08/01,$ 60.00,$ 60.00,(865) 974-3251,gradschool@utk.edu,https://gradschool.utk.edu/admissions/applying-to-graduate-school/,https://gradschool.utk.edu/admissions/,3.3:1,188,3.3:1,19.9,80.1,,,,
University at Buffalo--SUNY,62," Buffalo, NY","The School of Engineering and Applied Sciences at University at Buffalo--SUNY has a rolling application deadline. The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $11,550 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The School of Engineering and Applied Sciences at University at Buffalo--SUNY has 194 full-time faculty on staff.",,N/A,N/A,$ 85.00,$ 85.00,(716) 645-2771,gradeng@buffalo.edu,https://ubseasconnect.buffalo.edu/apply,http://engineering.buffalo.edu,2.6:1,194,2.6:1,23.7,76.3,,,,
University of North Carolina--Chapel Hill,64," Chapel Hill, NC","The Environmental Sciences and Engineering at University of North Carolina--Chapel Hill has a rolling application deadline. The application fee is $95 for U.S. residents and $95 for international students. Its tuition is full-time: $10,552 per year (in-state) and full-time: $28,844 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The Environmental Sciences and Engineering at University of North Carolina--Chapel Hill has 61 full-time faculty on staff.",,05/10,05/10,$ 95.00,$ 95.00,(919) 962-6316,rcbuchan@email.unc.edu,http://gradschool.unc.edu/admissions/instructions.html,https://gradschool.unc.edu/,N/A,61,3.3:1,53.8,45.3,N/A,N/A,,
University of Arizona,64," Tucson, AZ","The College of Engineering at University of Arizona has a rolling application deadline. The application fee is $85 for U.S. residents and $95 for international students. Its tuition is full-time: $12,106 per year (in-state); full-time: $32,290 per year (out-of-state); part-time: $865 per credit (in-state); and part-time: $1,794 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering at University of Arizona has 160 full-time faculty on staff.",,01/01,01/01,$ 85.00,$ 95.00,(520) 621-3471,gradadmissions@grad.arizona.edu,https://apply.grad.arizona.edu/users/login,http://grad.arizona.edu,2.8:1,160,2.8:1,24.6,75.4,,,,
Tufts University,64," Medford, MA","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $50,910 per year and part-time: $1,697 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The School of Engineering at Tufts University has 91 full-time faculty on staff.",,01/15,12/15,$ 85.00,$ 85.00,(617) 627-3395,gradadmissions@tufts.edu,http://gradase.admissions.tufts.edu/apply/,http://asegrad.tufts.edu/,"$1,687 per credit",91,2.7:1,33.9,66.1,"$50,910 per year","$1,697 per credit","$9,194 per year","$1,687 per credit"
The University of Texas at Dallas (Jonsson),64," Richardson, TX","The Erik Jonsson School of Engineering and Computer Science at The University of Texas at Dallas (Jonsson) has a rolling application deadline. The application fee is $50 for U.S. residents and $100 for international students. Its tuition is full-time: $15,088 per year (in-state) and full-time: $29,252 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The Erik Jonsson School of Engineering and Computer Science at The University of Texas at Dallas (Jonsson) has 156 full-time faculty on staff.",,05/01,05/01,$ 50.00,$ 100.00,(972) 883-2270,admission@utdallas.edu,https://graduate-admissions.utdallas.edu/steps-to-admission/,https://www.utdallas.edu/,N/A,156,3.5:1,31.1,68.9,N/A,N/A,,
Auburn University (Ginn),64," Auburn, AL","The Samuel Ginn College of Engineering at Auburn University (Ginn) has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $10,080 per year (in-state); full-time: $30,240 per year (out-of-state); part-time: $560 per credit (in-state); and part-time: $1,680 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.7:1. The Samuel Ginn College of Engineering at Auburn University (Ginn) has 177 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 70.00,(334) 844-4700,gradadm@auburn.edu,http://www.grad.auburn.edu,http://www.grad.auburn.edu,2.7:1,177,2.7:1,23.6,76.4,,,,
University of Connecticut,69," Storrs, CT","The School of Engineering at University of Connecticut has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $17,532 per year (in-state); full-time: $39,444 per year (out-of-state); part-time: $974 per credit (in-state); and part-time: $2,192 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The School of Engineering at University of Connecticut has 159 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 75.00,(860) 486-0974,gradschool@uconn.edu,http://www.grad.uconn.edu,http://www.uconn.edu,3.2:1,159,3.2:1,36.7,63.3,,,,
Rochester Institute of Technology (Gleason),69," Rochester, NY","The Kate Gleason College of Engineering at Rochester Institute of Technology (Gleason) has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $52,092 per year and part-time: $2,171 per year. The 2021 Ph.D. student-faculty ratio is 2.3:1. The Kate Gleason College of Engineering at Rochester Institute of Technology (Gleason) has 100 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(585) 475-2229,gradinfo@rit.edu,https://join.rit.edu/account/register,http://www.rit.edu,"$2,171 per year",100,2.3:1,22.4,77.6,"$52,092 per year","$2,171 per year","$52,092 per year","$2,171 per year"
University of Houston (Cullen),71," Houston, TX","The Cullen College of Engineering at University of Houston (Cullen) has a rolling application deadline. The application fee is $50 for U.S. residents and $80 for international students. Its tuition is full-time: $9,886 per year (in-state); full-time: $18,748 per year (out-of-state); part-time: $6,624 per year (in-state); and part-time: $12,561 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The Cullen College of Engineering at University of Houston (Cullen) has 172 full-time faculty on staff.",,05/15,05/15,$ 50.00,$ 80.00,(713) 743-4200,mavernon-harrison@uh.edu,http://www.applyweb.com,http://www.egr.uh.edu,3.2:1,172,3.2:1,28.2,71.8,,,,
Lehigh University (Rossin),71," Bethlehem, PA","The P.C. Rossin College of Engineering and Applied Science at Lehigh University (Rossin) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,500 per credit and part-time: $1,500 per credit. The 2021 Ph.D. student-faculty ratio is 2.6:1. The P.C. Rossin College of Engineering and Applied Science at Lehigh University (Rossin) has 116 full-time faculty on staff.",,07/15,01/15,$ 75.00,$ 75.00,(610) 758-6310,graduate.engineering@lehigh.edu,https://www.applyweb.com/lehighg/index.ftl,https://engineering.lehigh.edu/,"$1,500 per credit",116,2.6:1,29.6,70.4,"$1,500 per credit","$1,500 per credit","$1,500 per credit","$1,500 per credit"
Oregon State University,73," Corvallis, OR","The application fee is $75 for U.S. residents and $85 for international students. Its tuition is full-time: $15,570 per year (in-state); full-time: $29,421 per year (out-of-state); part-time: $557 per credit (in-state); and part-time: $1,070 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.3:1. The College of Engineering at Oregon State University has 200 full-time faculty on staff.",,02/01,02/01,$ 75.00,$ 85.00,(541) 737-4881,graduate.school@oregonstate.edu,https://oregonstate.force.com/AppLogin,https://gradschool.oregonstate.edu/,2.3:1,200,2.3:1,26.3,73.7,,,,
Clemson University,73," Clemson, SC","The College of Engineering, Computing and Applied Sciences at Clemson University has a rolling application deadline. The application fee is $80 for U.S. residents and $90 for international students. Its tuition is full-time: $10,858 per year (in-state); full-time: $22,566 per year (out-of-state); part-time: $743 per credit (in-state); and part-time: $1,488 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering, Computing and Applied Sciences at Clemson University has 243 full-time faculty on staff.",,N/A,N/A,$ 80.00,$ 90.00,(864) 656-2561,grdapp@clemson.edu,https://www.applyweb.com/clemsong/index.ftl,http://www.grad.clemson.edu/,2.5:1,243,2.5:1,24.2,75.8,,,,
University of Iowa,73," Iowa City, IA","The College of Engineering at University of Iowa has a rolling application deadline. The application fee is $60 for U.S. residents and $100 for international students. Its tuition is full-time: $10,432 per year (in-state) and full-time: $29,379 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at University of Iowa has 108 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 100.00,(319) 335-1525,admissions@uiowa.edu,http://www.uiowa.edu/admissions/graduate/apply/index.html,http://www.uiowa.edu/admissions/graduate/index.html,N/A,108,2:1,27.6,72.4,N/A,N/A,,
University of Central Florida,73," Orlando, FL","The College of Engineering and Computer Science at University of Central Florida has a rolling application deadline. The application fee is $32 for U.S. residents and $32 for international students. Its tuition is full-time: $288 per credit (in-state); full-time: $1,073 per credit (out-of-state); part-time: $288 per credit (in-state); and part-time: $1,073 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The College of Engineering and Computer Science at University of Central Florida has 168 full-time faculty on staff.",,07/01,07/01,$ 32.00,$ 32.00,(407) 823-2455,gradengr@ucf.edu,https://applynow.graduate.ucf.edu/apply/,http://www.cecs.ucf.edu/future-students/admissions-graduate-students/,3.7:1,168,3.7:1,30.1,69.9,,,,
Washington State University (Voiland),77," Pullman, WA","The Voiland College of Engineering and Architecture at Washington State University (Voiland) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $6,308 per year (in-state); full-time: $13,533 per year (out-of-state); part-time: $630 per credit (in-state); and part-time: $1,326 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The Voiland College of Engineering and Architecture at Washington State University (Voiland) has 128 full-time faculty on staff.",,01/31,01/31,$ 75.00,$ 75.00,(509) 335-1446,gradsch@wsu.edu,https://www.applyweb.com/apply/wsug/,http://www.vcea.wsu.edu,2.6:1,128,2.6:1,22.2,77.8,,,,
University of Illinois--Chicago,77," Chicago, IL","The College of Engineering at University of Illinois--Chicago has a rolling application deadline. The application fee is $70 for U.S. residents and $160 for international students. Its tuition is full-time: $16,298 per year (in-state); full-time: $29,166 per year (out-of-state); part-time: $10,866 per year (in-state); and part-time: $19,444 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at University of Illinois--Chicago has 137 full-time faculty on staff.",,05/15,05/15,$ 70.00,$ 160.00,(312) 996-4350,uicgrad@uic.edu,https://admissions.uic.edu/graduate-professional/contact-graduate-and-professional-admissions,http://www.uic.edu/,3.6:1,137,3.6:1,23.8,76,,,,
George Washington University,79," Washington, DC","The application fee is $80 for U.S. residents and $80 for international students. Its tuition is full-time: $1,995 per credit and part-time: $1,995 per credit. The 2021 Ph.D. student-faculty ratio is 4.7:1. The School of Engineering and Applied Science at George Washington University has 80 full-time faculty on staff.",,01/15,01/15,$ 80.00,$ 80.00,(202) 994-1802,engineering@gwu.edu,https://graduate.seas.gwu.edu/admissions-requirements,http://graduate.seas.gwu.edu,"$1,995 per credit",80,4.7:1,29.6,70.4,"$1,995 per credit","$1,995 per credit","$1,995 per credit","$1,995 per credit"
Colorado State University (Scott),79," Fort Collins, CO","The College of Engineering at Colorado State University (Scott) has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $602 per credit (in-state); full-time: $1,476 per credit (out-of-state); part-time: $602 per credit (in-state); and part-time: $1,476 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering at Colorado State University (Scott) has 141 full-time faculty on staff.",,04/01,04/01,$ 60.00,$ 70.00,(970) 491-6817,gradschool@colostate.edu,http://graduateschool.colostate.edu/apply,http://graduateschool.colostate.edu,2.5:1,141,2.5:1,28.9,71.1,,,,
The University of Texas at Arlington,79," Arlington, TX","The College of Engineering at The University of Texas at Arlington has a rolling application deadline. The application fee is $75 for U.S. residents and $90 for international students. Its tuition is full-time: $9,234 per year (in-state); full-time: $22,386 per year (out-of-state); part-time: $6,256 per year (in-state); and part-time: $15,140 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering at The University of Texas at Arlington has 167 full-time faculty on staff.",,03/15,03/15,$ 75.00,$ 90.00,(817) 272-2090,utaadmissions@uta.edu,http://www.applytexas.org,http://www.uta.edu/engineering/,2.2:1,167,2.2:1,27.1,72.9,,,,
University of California--Riverside (Bourns),82," Riverside, CA","The Marlan & Rosemary Bourns College of Engineering at University of California--Riverside (Bourns) has a rolling application deadline. The application fee is $105 for U.S. residents and $125 for international students. Its tuition is full-time: $17,432 per year (in-state); full-time: $32,534 per year (out-of-state); part-time: $8,716 per year (in-state); and part-time: $16,267 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.1:1. The Marlan & Rosemary Bourns College of Engineering at University of California--Riverside (Bourns) has 131 full-time faculty on staff.",,08/15,08/15,$ 105.00,$ 125.00,(951) 827-3977,graddiv@ucr.edu,https://graduate.ucr.edu/apply,https://graduate.ucr.edu/,4.1:1,131,4.1:1,21.3,78.1,,,,
Syracuse University,82," Syracuse, NY","The College of Engineering and Computer Science at Syracuse University has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,734 per credit and part-time: $1,734 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The College of Engineering and Computer Science at Syracuse University has 75 full-time faculty on staff.",,06/01,01/01,$ 75.00,$ 75.00,(315) 443-2219,topgrads@syr.edu,https://ecs.syracuse.edu/apply/,https://ecs.syracuse.edu/,"$1,734 per credit",75,2.7:1,30.3,69.7,"$1,734 per credit","$1,734 per credit","$1,734 per credit","$1,734 per credit"
Stevens Institute of Technology (Schaefer),82," Hoboken, NJ","The Charles V. Schaefer, Jr. School of Engineering at Stevens Institute of Technology (Schaefer) has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $38,016 per year and part-time: $1,716 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The Charles V. Schaefer, Jr. School of Engineering at Stevens Institute of Technology (Schaefer) has 117 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 60.00,(888) 783-8367,graduate@stevens.edu,https://gradadmissions.stevens.edu/apply/,http://www.stevens.edu/ses/index.php,"$1,716 per credit",117,2.7:1,22.3,76.2,"$38,016 per year","$1,716 per credit","$38,016 per year","$1,716 per credit"
Drexel University,82," Philadelphia, PA","The College of Engineering at Drexel University has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $1,342 per credit and part-time: $1,342 per credit. The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering at Drexel University has 128 full-time faculty on staff.",,09/01,01/07,$ 65.00,$ 65.00,(215) 895-6700,enroll@drexel.edu,http://www.drexel.edu/grad/apply,http://www.drexel.edu/engineering,"$1,342 per credit",128,2.5:1,29.3,70.7,"$1,342 per credit","$1,342 per credit","$1,342 per credit","$1,342 per credit"
Worcester Polytechnic Institute,86," Worcester, MA","The engineering school at Worcester Polytechnic Institute has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $28,980 per year and part-time: $1,610 per credit. The 2021 Ph.D. student-faculty ratio is 1.9:1. The engineering school at Worcester Polytechnic Institute has 132 full-time faculty on staff.",,N/A,N/A,$ 70.00,$ 70.00,(508) 831-5301,grad@wpi.edu,https://gradapp.wpi.edu/apply/,https://www.wpi.edu/admissions/graduate,"$1,610 per credit",132,1.9:1,21.1,78.9,"$28,980 per year","$1,610 per credit","$28,980 per year","$1,610 per credit"
University of Cincinnati,86," Cincinnati, OH","The application fee is $75 for U.S. residents and $80 for international students. Its tuition is full-time: $13,224 per year (in-state); full-time: $24,996 per year (out-of-state); part-time: $662 per credit (in-state); and part-time: $1,249 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering and Applied Science at University of Cincinnati has 130 full-time faculty on staff.",,04/01,04/01,$ 75.00,$ 80.00,(513) 556-3647,engrgrad@uc.edu,https://grad.uc.edu/admissions.html,http://www.ceas.uc.edu,2.8:1,130,2.8:1,33.5,66.5,,,,
University of California--Santa Cruz (Baskin),86," Santa Cruz, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state); full-time: $26,544 per year (out-of-state); part-time: $5,721 per year (in-state); and part-time: $13,272 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.1:1. The Jack Baskin School of Engineering at University of California--Santa Cruz (Baskin) has 124 full-time faculty on staff.",,01/14,01/14,$ 120.00,$ 140.00,(831) 459-5905,bsoe-ga@rt.ucsc.edu,https://grad.soe.ucsc.edu/admissions,https://grad.soe.ucsc.edu,3.1:1,124,3.1:1,26.3,66.7,,,,
University of New Mexico,86," Albuquerque, NM","The School of Engineering at University of New Mexico has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $438 per credit (in-state) and full-time: $1,181 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4:1. The School of Engineering at University of New Mexico has 97 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 70.00,(505) 277-8900,unmlobos@unm.edu,http://grad.unm.edu/prospective-students/apply-now.html,http://grad.unm.edu/,N/A,97,4:1,25.2,74.8,N/A,N/A,,
New Jersey Institute of Technology,86," Newark, NJ","The Newark College of Engineering at New Jersey Institute of Technology has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $21,342 per year (in-state); full-time: $31,556 per year (out-of-state); part-time: $1,161 per credit (in-state); and part-time: $1,667 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The Newark College of Engineering at New Jersey Institute of Technology has 171 full-time faculty on staff.",,06/01,12/15,$ 75.00,$ 75.00,(973) 596-3300,admissions@njit.edu,https://connect.njit.edu/apply/,http://www.njit.edu/,1.6:1,171,1.6:1,27.5,72.5,,,,
Michigan Technological University,86," Houghton, MI","The College of Engineering at Michigan Technological University has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. Its tuition is full-time: $1,343 per credit (in-state); full-time: $1,343 per credit (out-of-state); part-time: $1,343 per credit (in-state); and part-time: $1,343 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.5:1. The College of Engineering at Michigan Technological University has 153 full-time faculty on staff.",,N/A,N/A,$ 0.00,$ 0.00,(906) 487-1434,jacque@mtu.edu,https://www.mtu.edu/gradschool/prospective/apply-now/,http://www.mtu.edu/gradschool/,1.5:1,153,1.5:1,18.4,81.6,,,,
University of South Florida,92," Tampa, FL",The application fee is $30 for U.S. residents and $30 for international students. Its tuition is full-time: $467 per credit (in-state); full-time: $913 per credit (out-of-state); part-time: $467 per credit (in-state); and part-time: $913 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.9:1. The College of Engineering at University of South Florida has 120 full-time faculty on staff.,,06/01,02/15,$ 30.00,$ 30.00,(813) 974-3350,admissions@grad.usf.edu,http://www.usf.edu/admissions/,http://www.usf.edu/admissions/,2.9:1,120,2.9:1,27.3,72.7,,,,
Missouri University of Science & Technology--Rolla,92," Rolla, MO","The engineering school at Missouri University of Science & Technology--Rolla has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. Its tuition is full-time: $435 per credit (in-state); full-time: $1,232 per credit (out-of-state); part-time: $435 per credit (in-state); and part-time: $1,232 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.7:1. The engineering school at Missouri University of Science & Technology--Rolla has 145 full-time faculty on staff.",,04/30,02/15,$ 0.00,$ 0.00,(800) 522-0938,admissions@mst.edu,http://futurestudents.mst.edu/admissions/,http://www.mst.edu,2.7:1,145,2.7:1,20.6,79.4,,,,
George Mason University,92," Fairfax, VA","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $663 per credit (in-state); full-time: $1,431 per credit (out-of-state); part-time: $663 per credit (in-state); and part-time: $1,431 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.4:1. The College of Engineering and Computing at George Mason University has 151 full-time faculty on staff.",,03/15,12/01,$ 75.00,$ 75.00,(703) 993-9700,masongrad@gmu.edu,https://www2.gmu.edu/admissions-aid/how-apply/graduate,https://www2.gmu.edu/admissions-aid/how-apply/graduate,2.4:1,151,2.4:1,36,64,,,,
University of Missouri,95," Columbia, MO","The College of Engineering at University of Missouri has a rolling application deadline. The application fee is $75 for U.S. residents and $100 for international students. Its tuition is full-time: $7,462 per year (in-state) and full-time: $20,433 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The College of Engineering at University of Missouri has 95 full-time faculty on staff.",,03/01,03/01,$ 75.00,$ 100.00,(573) 884-1402,gradadmin@missouri.edu,http://gradstudies.missouri.edu/admissions/apply/,http://www.missouri.edu/,N/A,95,2.6:1,22.1,77.9,N/A,N/A,,
Texas Tech University (Whitacre),95," Lubbock, TX","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $8,347 per year (in-state); full-time: $18,139 per year (out-of-state); part-time: $348 per credit (in-state); and part-time: $756 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The Edward E. Whitacre Jr. College of Engineering at Texas Tech University (Whitacre) has 136 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 75.00,(806) 834-3374,graduate.admissions@ttu.edu,http://www.depts.ttu.edu/gradschool/,http://www.depts.ttu.edu/coe/,2.6:1,136,2.6:1,25.7,74,,,,
Binghamton University--SUNY (Watson),95,"nghamton, NY","The Thomas J. Watson College of Engineering and Applied Science at Binghamton University--SUNY (Watson) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $11,310 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The Thomas J. Watson College of Engineering and Applied Science at Binghamton University--SUNY (Watson) has 98 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 75.00,(607) 777-6216,mcude@binghamton.edu,https://www.binghamton.edu/grad-school/admissions/apply,https://www.binghamton.edu/watson/graduate,3.7:1,98,3.7:1,28.2,71.8,,,,
